f00F,f00M,f05F,f05M,f13F,f13M,f25F,f25M,facF,facM,rotulo
105,108,62,59,23,26,80,28,210,31,0
137,140,59,55,24,25,175,36,217,34,0
39,41,21,21,17,13,54,5,69,4,0
51,49,16,19,30,27,69,4,118,1,0
60,59,23,25,17,15,23,15,92,14,0
200,194,105,108,66,60,131,39,220,42,0
228,235,77,82,83,83,367,57,375,55,0
12,18,4,9,5,7,13,1,40,4,0
279,281,80,83,178,173,411,115,672,115,0
441,444,146,148,118,114,466,65,595,67,0
217,218,71,68,41,45,208,13,231,12,0
111,113,40,45,51,50,79,7,94,10,0
146,141,77,74,52,48,207,45,215,47,0
195,187,42,45,59,62,125,17,218,18,0
107,105,54,51,31,33,59,11,121,16,0
42,43,11,9,8,11,24,11,56,9,0
34,29,22,23,10,8,54,6,68,10,0
78,85,41,35,31,35,97,20,141,24,0
55,50,19,23,28,31,49,4,121,5,0
824,832,398,401,184,182,811,114,1188,115,0
41,37,11,15,13,12,48,8,55,11,0
18,23,11,5,13,7,23,7,28,5,0
165,168,107,107,61,63,123,52,383,50,0
1261,1266,595,594,400,405,1358,93,1836,97,0
780,786,542,543,277,277,658,191,1880,193,0
407,415,211,208,223,219,287,104,544,104,0
47,39,26,26,21,29,21,10,87,9,0
121,115,23,23,41,46,86,10,103,13,0
14,18,3,9,8,10,32,4,34,3,0
747,739,328,331,191,187,427,156,740,157,0
182,192,65,68,93,93,100,45,257,42,0
483,486,142,145,203,201,362,110,437,111,0
195,192,92,90,59,59,219,48,313,49,0
183,184,56,58,49,47,180,25,529,22,0
28,33,4,7,18,16,35,7,75,7,0
41,45,12,7,8,12,30,9,34,9,0
22,14,2,7,10,11,32,1,38,4,0
77,76,42,45,24,32,74,7,140,12,0
57,59,45,44,41,37,65,24,151,24,0
815,809,183,178,145,142,534,103,918,100,0
45,51,37,36,33,33,69,15,194,12,0
102,108,41,45,29,33,88,2,95,6,0
13,7,2,9,4,7,13,2,28,5,0
33,27,18,14,26,20,26,6,43,11,0
94,96,26,20,61,68,89,18,177,18,0
64,71,17,22,31,27,36,7,110,5,0
25,28,9,9,11,12,46,5,64,8,0
189,186,75,72,36,34,183,30,370,30,0
56,61,23,24,19,15,29,16,82,15,0
321,320,161,159,120,116,320,69,432,71,0
301,302,161,163,170,173,387,57,468,60,0
51,54,25,24,11,16,51,9,87,11,0
69,76,27,27,27,31,111,5,139,2,0
13,18,1,4,1,6,10,1,24,0,0
22,19,3,8,3,6,6,4,27,5,0
75,77,31,27,37,42,74,21,205,20,0
119,127,62,63,87,86,175,32,299,33,0
18,18,14,9,6,3,10,2,30,4,0
12,12,6,2,6,4,6,4,18,1,0
176,167,54,52,102,100,109,30,306,32,0
424,418,175,174,129,129,405,80,633,80,0
16,18,8,3,5,7,34,3,45,4,0
46,40,24,30,23,24,35,18,118,19,0
36,43,17,13,10,17,29,1,60,4,0
20,22,3,4,9,9,13,5,39,4,0
27,32,12,15,12,11,25,1,39,5,0
60,56,17,13,25,21,53,11,123,11,0
41,48,24,21,18,16,35,2,50,3,0
50,51,25,27,21,27,34,15,55,17,0
34,26,14,18,19,14,49,8,84,8,0
131,126,40,35,49,54,80,9,96,13,0
73,71,26,27,51,47,123,18,131,19,0
34,32,9,8,16,15,36,4,43,7,0
52,47,12,17,12,13,79,9,123,6,0
399,402,82,88,94,94,271,77,409,79,0
89,92,38,39,35,38,61,11,113,13,0
320,322,227,223,197,196,397,89,951,93,0
21,24,9,5,5,10,16,2,36,1,0
308,311,88,88,67,73,106,15,345,13,0
96,88,26,28,29,29,151,5,157,4,0
19,22,14,15,6,8,30,6,49,10,0
6,9,7,3,0,6,11,1,16,5,0
21,18,6,4,11,7,14,2,34,0,0
179,181,63,64,126,131,307,19,676,19,0
13,21,10,6,7,6,15,3,19,1,0
23,26,10,9,7,10,11,7,40,5,0
43,43,11,13,19,25,25,5,68,9,0
40,37,26,31,30,31,53,15,91,15,0
50,48,14,17,37,40,43,6,107,6,0
351,347,115,119,66,64,207,77,427,76,0
84,83,45,39,52,50,145,5,170,6,0
61,61,8,11,17,18,49,7,66,11,0
41,33,18,25,20,16,26,8,99,7,0
1030,1029,516,512,429,431,770,116,1218,115,0
173,169,53,53,72,69,210,28,319,26,0
61,53,19,16,12,13,55,4,110,3,0
26,22,15,21,16,20,40,1,40,4,0
24,32,17,22,7,10,53,8,64,9,0
105,98,32,38,21,16,46,4,107,5,0
22,32,8,7,10,8,11,1,27,1,0
151,144,53,48,39,37,118,14,122,11,0
126,123,29,35,46,47,55,31,129,34,0
9,18,4,5,5,6,15,2,16,0,0
149,145,48,52,124,124,186,38,339,38,0
24,24,8,7,10,9,14,4,29,4,0
289,293,109,115,152,152,274,64,569,66,0
19,10,10,7,7,9,13,1,17,6,0
14,14,7,1,4,1,8,0,31,4,0
49,48,19,16,10,14,26,11,54,10,0
34,31,7,15,13,7,25,7,34,7,0
68,71,31,36,31,33,82,7,95,7,0
33,30,20,14,11,17,20,3,53,2,0
23,28,8,6,8,7,28,3,39,6,0
17,16,7,5,6,10,10,4,26,5,0
13,16,1,7,4,6,16,0,51,3,0
8,4,4,0,2,4,4,2,17,0,0
22,13,3,7,10,13,9,3,29,4,0
29,25,8,10,2,10,15,2,43,7,0
247,251,203,204,179,180,337,39,447,37,0
34,41,17,18,19,16,47,5,56,3,0
148,150,48,46,80,75,152,11,233,11,0
98,93,37,42,46,41,73,17,79,18,0
32,25,19,19,12,9,37,5,44,2,0
81,75,33,28,45,46,64,18,90,19,0
332,330,96,101,92,90,232,19,450,21,0
28,20,5,5,11,5,10,0,22,4,0
13,22,4,3,9,4,6,3,28,3,0
26,31,10,17,13,20,26,7,56,12,0
67,64,26,28,24,25,43,9,89,9,0
271,275,72,78,121,127,341,25,411,22,0
164,158,67,68,29,32,210,33,255,32,0
12,20,6,10,9,8,14,5,32,6,0
43,41,18,12,33,33,28,15,86,15,0
78,78,43,47,43,47,47,13,176,14,0
95,103,40,42,38,42,133,13,158,12,0
12,8,4,5,9,5,7,3,24,3,0
58,51,47,53,44,46,73,19,80,17,0
53,49,12,10,25,29,39,8,125,11,0
13,6,4,6,5,4,18,4,23,2,0
545,540,214,211,202,197,285,67,569,64,0
112,119,53,50,104,110,138,7,293,10,0
65,62,22,23,27,24,66,3,123,5,0
667,662,273,278,177,175,594,116,808,114,0
193,201,68,70,107,104,269,50,468,53,0
119,114,37,40,28,26,113,17,153,19,0
326,335,190,190,88,94,260,23,380,24,0
19,26,6,5,1,6,8,0,31,4,0
138,135,71,73,36,33,164,26,189,28,0
21,28,10,12,9,3,26,4,39,1,0
118,114,57,60,52,54,61,13,116,13,0
39,33,16,21,20,21,29,10,75,13,0
7,14,0,3,0,4,4,3,19,0,0
190,200,74,77,69,77,236,63,368,66,0
21,22,9,7,9,15,17,4,38,4,0
37,37,9,12,31,27,28,11,93,11,0
87,92,49,49,31,28,143,15,154,17,0
22,25,14,9,9,9,21,5,72,2,0
398,398,138,139,90,96,321,60,396,64,0
19,17,4,6,8,7,18,0,28,1,0
40,39,19,16,17,15,35,8,63,7,0
25,23,8,13,7,13,33,3,45,3,0
77,74,38,33,45,48,89,9,112,14,0
565,561,179,184,152,151,236,28,814,28,0
115,120,41,41,48,53,68,5,125,5,0
304,296,137,139,167,167,487,75,520,76,0
26,22,6,9,6,10,19,7,44,7,0
188,195,57,57,42,42,115,17,210,19,0
1477,1485,1215,1209,572,567,1251,277,2592,275,0
54,56,40,34,39,41,54,4,183,3,0
155,152,112,109,90,91,281,63,475,65,0
20,20,8,7,6,11,19,1,40,2,0
15,13,3,3,9,6,24,0,28,1,0
28,28,12,19,12,9,25,6,101,7,0
422,427,152,155,120,122,205,43,668,44,0
892,895,184,191,199,194,525,100,830,101,0
21,25,5,2,11,8,10,0,27,2,0
220,212,87,84,112,108,264,30,283,30,0
39,47,12,16,12,13,48,4,130,1,0
659,659,254,258,229,233,262,162,607,159,0
158,160,52,56,62,67,149,36,275,34,0
171,180,31,36,88,86,108,9,210,8,0
75,82,35,29,15,12,41,5,59,9,0
34,30,18,16,23,20,41,2,102,6,0
12,9,0,3,4,0,3,0,12,1,0
18,16,7,4,11,13,11,0,43,2,0
268,267,106,105,79,81,141,35,190,39,0
53,48,5,11,23,19,49,7,57,7,0
153,151,31,27,46,46,204,30,253,33,0
75,71,15,19,34,40,88,4,93,1,0
684,681,216,222,294,290,431,28,1204,30,0
86,94,27,24,32,36,96,19,180,19,0
305,305,103,102,139,134,212,65,462,62,0
23,32,16,19,10,10,34,4,45,1,0
139,147,39,41,80,76,68,24,181,25,0
37,43,11,10,11,15,27,6,31,6,0
340,344,62,64,63,58,129,65,514,67,0
149,146,45,45,66,69,114,7,169,10,0
26,19,17,14,12,6,34,6,61,9,0
15,16,9,9,5,12,11,1,24,3,0
15,16,9,11,8,8,32,7,42,4,0
250,248,55,51,109,105,210,52,452,53,0
778,777,495,497,716,714,1263,162,2527,163,0
566,557,184,188,431,428,566,53,1120,56,0
130,138,25,27,42,44,82,19,121,21,0
13,3,7,1,0,3,7,1,10,1,0
33,40,14,17,10,11,18,4,39,8,0
33,29,12,7,16,21,27,11,82,10,0
91,94,67,68,64,65,248,28,257,26,0
121,115,37,39,27,23,147,17,199,20,0
41,42,17,23,14,20,78,14,85,17,0
300,296,83,87,85,87,245,16,364,20,0
90,95,42,46,28,28,163,6,168,9,0
26,22,6,6,12,9,21,6,56,6,0
500,505,190,188,122,119,435,25,727,24,0
335,331,94,90,105,111,185,39,598,38,0
165,159,65,70,33,37,166,31,229,33,0
324,332,78,78,142,144,205,69,718,70,0
74,74,31,36,30,25,96,3,145,3,0
40,37,16,12,15,21,27,1,37,1,0
59,56,26,30,15,19,42,13,133,12,0
315,318,133,140,147,148,707,73,773,71,0
42,42,18,14,23,21,35,8,102,6,0
66,76,40,40,51,51,49,9,169,6,0
121,128,50,57,53,57,95,37,326,36,0
94,105,74,75,68,75,50,10,169,12,0
831,836,154,154,344,347,312,92,995,96,0
32,40,8,12,27,22,33,10,69,13,0
20,25,16,20,9,5,34,4,89,5,0
842,838,629,633,469,464,901,215,1115,216,0
110,107,64,62,76,75,126,33,355,35,0
42,52,9,12,9,11,31,1,32,4,0
37,36,21,22,18,23,53,1,84,2,0
32,38,12,7,16,19,12,1,44,1,0
20,15,11,12,13,17,23,4,38,7,0
156,157,42,44,34,37,86,17,185,20,0
38,41,21,19,16,20,33,1,86,5,0
82,86,38,38,13,16,61,12,87,11,0
48,51,14,18,17,11,52,7,74,10,0
52,49,12,14,23,23,65,14,139,16,0
11,8,1,5,2,5,11,1,23,2,0
298,292,121,126,151,153,173,82,479,79,0
50,47,13,19,12,15,34,13,58,15,0
23,16,4,4,6,12,18,4,38,5,0
19,12,6,4,1,5,17,1,24,0,0
189,187,45,44,40,45,202,6,204,8,0
109,103,38,41,43,46,46,19,119,21,0
32,38,13,8,18,15,12,9,41,8,0
378,383,165,164,149,151,345,27,393,27,0
41,39,4,8,7,13,25,3,82,3,0
67,65,32,29,22,18,72,3,111,3,0
37,47,11,17,26,20,43,14,58,17,0
58,65,39,40,34,33,89,14,147,14,0
25,29,9,5,11,15,28,1,54,2,0
97,95,81,83,64,71,108,31,152,31,0
48,50,20,24,9,9,38,3,53,4,0
203,197,104,111,94,88,164,41,571,38,0
54,50,21,24,20,16,40,11,90,9,0
112,118,85,86,53,55,129,14,302,15,0
24,31,11,8,13,7,14,8,57,11,0
52,50,16,16,27,34,69,17,97,20,0
6,12,6,9,6,9,12,3,15,1,0
80,76,29,29,31,35,25,2,76,6,0
59,52,28,22,25,20,94,15,131,15,0
75,70,37,38,33,35,55,10,91,12,0
33,35,8,7,15,11,28,8,54,6,0
150,155,62,58,35,32,91,6,124,4,0
17,15,4,6,2,2,9,0,21,2,0
22,25,13,12,4,8,26,4,50,7,0
48,45,12,13,11,8,27,2,108,2,0
47,44,8,12,19,23,60,13,65,12,0
168,168,47,50,62,65,81,34,279,37,0
59,68,14,18,12,15,37,8,90,6,0
27,32,5,9,10,8,14,1,46,0,0
37,37,23,24,20,16,59,4,64,6,0
365,370,103,101,211,212,596,23,967,22,0
98,101,37,42,41,41,37,22,142,20,0
50,52,14,11,21,24,29,12,105,12,0
16,13,2,7,7,4,11,0,15,3,0
428,426,95,100,91,97,321,33,904,31,0
99,104,41,39,33,35,106,9,151,8,0
8,14,8,7,7,13,17,3,31,4,0
127,126,39,41,42,44,57,23,144,20,0
2070,2080,896,897,1060,1066,1430,291,4943,294,0
127,133,28,33,36,34,141,39,248,36,0
221,217,118,125,101,103,351,30,729,29,0
374,378,115,119,162,157,174,63,297,65,0
7,11,1,6,5,4,7,2,15,1,0
33,31,22,18,20,23,67,11,75,13,0
112,114,59,55,48,53,129,22,149,24,0
17,14,11,9,8,12,27,3,30,3,0
98,92,42,38,61,66,88,12,101,9,0
40,40,20,23,20,23,26,13,75,11,0
220,231,74,77,67,67,186,26,259,29,0
9,7,1,4,1,3,8,1,13,1,0
120,115,79,81,106,111,220,9,421,8,0
977,980,262,261,305,303,786,209,2272,210,0
21,26,7,8,7,9,30,4,42,6,0
52,55,37,33,34,35,50,24,93,24,0
251,243,133,141,136,131,205,30,525,27,0
79,75,26,30,31,36,27,5,77,3,0
130,138,53,55,42,38,66,26,151,23,0
4,7,5,0,4,0,6,0,20,4,0
263,261,54,58,58,58,249,57,282,55,0
40,46,19,17,10,15,36,2,61,1,0
14,12,7,5,1,7,20,5,28,2,0
143,150,55,49,51,45,96,16,383,17,0
127,127,47,45,56,54,94,19,195,16,0
551,552,183,188,178,182,751,54,808,57,0
61,57,17,16,16,12,31,12,70,14,0
285,293,151,155,114,113,489,72,525,70,0
28,37,8,12,9,6,29,7,56,5,0
